a,method,draw,edge,kind,true_di,est_di,lcb,certified
0.0,Correlation,0,1->0,true_direct,0.0,0.00027413448418777515,3.385230567267007e-07,0
0.0,Correlation,0,2->1,true_direct,0.0,0.00023518347451296058,1.1548129028238396e-06,0
0.0,Correlation,0,0->1,null,0.0,0.00027413448418777515,8.204710229888467e-07,0
0.0,Correlation,0,0->2,null,0.0,0.0010461741694190944,2.0175806871084625e-06,0
0.0,Correlation,0,1->2,null,0.0,0.00023518347451296058,1.2492150258945161e-06,0
0.0,Correlation,0,2->0,null,0.0,0.0010461741694190944,2.0035550476160637e-05,0
0.0,Correlation,1,1->0,true_direct,0.0,4.106287764195678e-06,8.19438364926914e-07,0
0.0,Correlation,1,2->1,true_direct,0.0,0.0016732055454465227,0.00029152892593509503,0
0.0,Correlation,1,0->1,null,0.0,3.897738562610281e-06,4.908598760417196e-07,0
0.0,Correlation,1,0->2,null,0.0,0.0009168315101429225,1.163891103253199e-05,0
0.0,Correlation,1,1->2,null,0.0,0.0016732055454465227,5.539994567186451e-07,0
0.0,Correlation,1,2->0,null,0.0,0.0009168315101429225,7.621764696845317e-06,0
0.0,Correlation,2,1->0,true_direct,0.0,0.0001262574270821313,1.7168780703314106e-06,0
0.0,Correlation,2,2->1,true_direct,0.0,1.4547260052005385e-05,1.0575911829739657e-06,0
0.0,Correlation,2,0->1,null,0.0,7.753492687724141e-05,5.495577254841901e-07,0
0.0,Correlation,2,0->2,null,0.0,0.0005281009577634819,1.012728269619581e-05,0
0.0,Correlation,2,1->2,null,0.0,1.0534485249722909e-05,7.0926292475215135e-06,0
0.0,Correlation,2,2->0,null,0.0,4.4527079170494605e-05,8.265444883188443e-07,0
0.0,Correlation,3,1->0,true_direct,0.0,1.1736839705044766e-05,1.4394792835705445e-06,0
0.0,Correlation,3,2->1,true_direct,0.0,0.00016891561847648056,1.3036425030296133e-06,0
0.0,Correlation,3,0->1,null,0.0,8.047991918200132e-05,1.5943711425424853e-06,0
0.0,Correlation,3,0->2,null,0.0,6.500396435210403e-05,2.0803389001724338e-06,0
0.0,Correlation,3,1->2,null,0.0,0.0001938137368834544,3.2754419864043977e-06,0
0.0,Correlation,3,2->0,null,0.0,0.0004207126646795282,4.523003786249125e-06,0
0.0,Correlation,4,1->0,true_direct,0.0,2.6763520927596118e-05,6.045097439527135e-07,0
0.0,Correlation,4,2->1,true_direct,0.0,0.0001644714907924273,4.688040262669068e-06,0
0.0,Correlation,4,0->1,null,0.0,0.00033476447070204606,8.328420881580937e-06,0
0.0,Correlation,4,0->2,null,0.0,0.0004777865126567607,7.452892592379591e-07,0
0.0,Correlation,4,1->2,null,0.0,0.0007649044385935002,2.9539726223877607e-05,0
0.0,Correlation,4,2->0,null,0.0,0.0006298125514065663,3.0433701540316827e-05,0
0.0,Correlation,5,1->0,true_direct,0.0,0.0011182523600332475,1.238822236580206e-05,0
0.0,Correlation,5,2->1,true_direct,0.0,0.00014410847124243095,8.075678890128989e-07,0
0.0,Correlation,5,0->1,null,0.0,0.0003090532281086744,3.6466021735439685e-06,0
0.0,Correlation,5,0->2,null,0.0,4.68214491047137e-05,6.292099509100564e-07,0
0.0,Correlation,5,1->2,null,0.0,7.623256468806616e-06,4.967543358053348e-07,0
0.0,Correlation,5,2->0,null,0.0,8.424039423640999e-05,2.765304444725897e-06,0
0.0,Correlation,6,1->0,true_direct,0.0,9.23121019729075e-05,3.5651533504710716e-06,0
0.0,Correlation,6,2->1,true_direct,0.0,0.00011735786203363033,1.0174663472707331e-06,0
0.0,Correlation,6,0->1,null,0.0,9.146589944000597e-05,1.149368564320676e-07,0
0.0,Correlation,6,0->2,null,0.0,0.0012558689831545617,2.4897053175564916e-07,0
0.0,Correlation,6,1->2,null,0.0,2.4059529848840514e-05,2.020205060532801e-06,0
0.0,Correlation,6,2->0,null,0.0,0.0012558689831545617,8.691751508305312e-07,0
0.0,Correlation,7,1->0,true_direct,0.0,1.6012101078606255e-05,5.079839841460607e-07,0
0.0,Correlation,7,2->1,true_direct,0.0,0.00038861137653796305,3.0767621207557777e-07,0
0.0,Correlation,7,0->1,null,0.0,8.683989642978033e-05,5.690690351771359e-07,0
0.0,Correlation,7,0->2,null,0.0,0.00015697206277584408,8.208153323862352e-07,0
0.0,Correlation,7,1->2,null,0.0,0.00038861137653796305,1.1365826487041571e-06,0
0.0,Correlation,7,2->0,null,0.0,0.00010988749255827241,1.3326529581637607e-06,0
0.0,Correlation,8,1->0,true_direct,0.0,0.0001698730455723132,4.768943254127218e-07,0
0.0,Correlation,8,2->1,true_direct,0.0,0.00028047166100434974,2.5939339682727194e-06,0
0.0,Correlation,8,0->1,null,0.0,8.018457018776056e-06,1.898710154761425e-06,0
0.0,Correlation,8,0->2,null,0.0,3.424866957138108e-05,1.4329116920648325e-07,0
0.0,Correlation,8,1->2,null,0.0,0.00028047166100434974,1.9566156382300374e-06,0
0.0,Correlation,8,2->0,null,0.0,3.424866957138108e-05,9.444380104887315e-07,0
0.0,Correlation,9,1->0,true_direct,0.0,0.000344037868174233,3.452369127347304e-07,0
0.0,Correlation,9,2->1,true_direct,0.0,0.0004325390071183883,1.9107972619930465e-05,0
0.0,Correlation,9,0->1,null,0.0,0.0003471069540013082,3.41437925843002e-06,0
0.0,Correlation,9,0->2,null,0.0,0.00023888558994233913,3.0403894037726384e-06,0
0.0,Correlation,9,1->2,null,0.0,5.6769376277230855e-05,8.772267674344737e-07,0
0.0,Correlation,9,2->0,null,0.0,0.00022390603808158328,7.623282823674982e-06,0
0.0,Correlation,10,1->0,true_direct,0.0,4.9355165271379194e-05,1.350925886158713e-06,0
0.0,Correlation,10,2->1,true_direct,0.0,4.318269905179277e-05,3.3375311575820125e-06,0
0.0,Correlation,10,0->1,null,0.0,2.3684996635032634e-06,4.5458174217533265e-07,0
0.0,Correlation,10,0->2,null,0.0,1.8064813229422183e-05,1.1202890796768714e-06,0
0.0,Correlation,10,1->2,null,0.0,4.577824849915777e-05,3.0778205141251945e-06,0
0.0,Correlation,10,2->0,null,0.0,0.0001662729263984284,1.0598087046485105e-06,0
0.0,Correlation,11,1->0,true_direct,0.0,0.0009299796827198805,1.1992262846160002e-06,0
0.0,Correlation,11,2->1,true_direct,0.0,0.0005520511215364174,4.557743904718436e-06,0
0.0,Correlation,11,0->1,null,0.0,0.0009299796827198805,8.598038039113019e-07,0
0.0,Correlation,11,0->2,null,0.0,0.0003427781261133723,6.494960610782938e-06,0
0.0,Correlation,11,1->2,null,0.0,0.0005520511215364174,1.098414910928029e-05,0
0.0,Correlation,11,2->0,null,0.0,0.00027740517625928125,3.91046404073312e-06,0
0.0,Correlation,12,1->0,true_direct,0.0,0.0004401602697916357,1.3398358824748509e-05,0
0.0,Correlation,12,2->1,true_direct,0.0,0.0002624187247730152,2.396486655845853e-06,0
0.0,Correlation,12,0->1,null,0.0,0.0004401602697916357,1.9699309539467854e-06,0
0.0,Correlation,12,0->2,null,0.0,0.0006139907117730637,0.00013162089667266157,0
0.0,Correlation,12,1->2,null,0.0,0.0004382607842847524,9.394463212501691e-06,0
0.0,Correlation,12,2->0,null,0.0,0.0006139907117730637,4.218670901568818e-07,0
0.0,Correlation,13,1->0,true_direct,0.0,0.00020787534624918904,1.4866756700400606e-06,0
0.0,Correlation,13,2->1,true_direct,0.0,7.233669919206962e-05,1.617753334606569e-06,0
0.0,Correlation,13,0->1,null,0.0,4.1279797791597754e-05,3.8966410006902e-07,0
0.0,Correlation,13,0->2,null,0.0,0.00023770174362108143,2.6247377540519913e-06,0
0.0,Correlation,13,1->2,null,0.0,6.84822462153613e-07,1.0216327824852215e-05,0
0.0,Correlation,13,2->0,null,0.0,0.00023770174362108143,2.8966415161775985e-07,0
0.0,Correlation,14,1->0,true_direct,0.0,0.0005937289636243939,6.889902176465569e-05,0
0.0,Correlation,14,2->1,true_direct,0.0,0.000271075514833747,6.1902523349315075e-06,0
0.0,Correlation,14,0->1,null,0.0,0.0014274546995977767,0.00010708283848299177,0
0.0,Correlation,14,0->2,null,0.0,2.8926951302913248e-05,1.3406339139828763e-06,0
0.0,Correlation,14,1->2,null,0.0,4.2205608643486805e-06,1.4697827943727857e-06,0
0.0,Correlation,14,2->0,null,0.0,2.8926951302913248e-05,6.193189930239938e-07,0
0.0,Correlation,15,1->0,true_direct,0.0,0.00011291178268194901,2.7614431548908906e-06,0
0.0,Correlation,15,2->1,true_direct,0.0,4.7326414303002286e-05,1.5717848245037726e-06,0
0.0,Correlation,15,0->1,null,0.0,0.0008786582502520045,4.35387895884525e-05,0
0.0,Correlation,15,0->2,null,0.0,0.00010756620724271589,1.1085544578604912e-06,0
0.0,Correlation,15,1->2,null,0.0,6.301094398284835e-05,1.3317732549376274e-06,0
0.0,Correlation,15,2->0,null,0.0,5.310094621190092e-05,9.304016202637626e-07,0
