a,method,n_draws,median_true_di_bits,median_est_di_on_true_edges,detection_power_per_draw,per_edge_recall,false_positive_rate,certified_true_edges,certified_null_edges
0.0,Correlation,30,0.0,0.0002667471198033811,0.0,0.0,0.0,0,0
0.0,PairwiseTE,30,0.0,9.793175783441742e-05,0.0,0.0,0.0,0,0
0.0,PAC,30,0.0,0.0003886159686099739,0.0,0.0,0.008333333333333333,0,1
0.0,ConditionalVAR,30,0.0,7.583831334158873e-05,0.0,0.0,0.0,0,0
0.0,Neuroforecast,30,0.0,-0.00019964656248771482,0.0,0.0,0.0,0,0
0.02,Correlation,30,0.0003434832206827864,0.0006832119143323876,0.06666666666666667,0.03333333333333333,0.0,2,0
0.02,PairwiseTE,30,0.0003434832206827864,0.0003300399733064938,0.03333333333333333,0.016666666666666666,0.0,1,0
0.02,PAC,30,0.0003434832206827864,0.00033399668019448123,0.0,0.0,0.025,0,3
0.02,ConditionalVAR,30,0.0003434832206827864,0.0003428024761499418,0.0,0.0,0.0,0,0
0.02,Neuroforecast,30,0.0003434832206827864,8.626070333018094e-05,0.0,0.0,0.0,0,0
0.05,Correlation,30,0.002146254119291997,0.0026629106391592317,0.6333333333333333,0.36666666666666664,0.0,22,0
0.05,PairwiseTE,30,0.002146254119291997,0.0019339133205231675,0.5666666666666667,0.31666666666666665,0.0,19,0
0.05,PAC,30,0.002146254119291997,0.00022867548178101936,0.0,0.0,0.0,0,0
0.05,ConditionalVAR,30,0.002146254119291997,0.002528130627489455,0.7333333333333333,0.45,0.0,27,0
0.05,Neuroforecast,30,0.002146254119291997,0.002104839527979381,0.4666666666666667,0.23333333333333334,0.0,14,0
0.08,Correlation,30,0.005491909634878234,0.006250361202322033,1.0,0.9166666666666666,0.0,55,0
0.08,PairwiseTE,30,0.005491909634878234,0.005626597012925286,1.0,0.9666666666666667,0.008333333333333333,58,1
0.08,PAC,30,0.005491909634878234,0.0002894798250509048,0.0,0.0,0.008333333333333333,0,1
0.08,ConditionalVAR,30,0.005491909634878234,0.0056285939666487796,1.0,0.95,0.008333333333333333,57,1
0.08,Neuroforecast,30,0.005491909634878234,0.0047278228938380205,0.9,0.7166666666666667,0.0,43,0
0.12,Correlation,30,0.012344819658016221,0.0155001294612921,1.0,1.0,0.016666666666666666,60,2
0.12,PairwiseTE,30,0.012344819658016221,0.013218922037759505,1.0,1.0,0.0,60,0
0.12,PAC,30,0.012344819658016221,0.0002649997598669228,0.03333333333333333,0.016666666666666666,0.025,1,3
0.12,ConditionalVAR,30,0.012344819658016221,0.012100573217472082,1.0,1.0,0.0,60,0
0.12,Neuroforecast,30,0.012344819658016221,0.012809303285952398,1.0,1.0,0.0,60,0
0.15,Correlation,30,0.019268911193017803,0.022647163451362726,1.0,1.0,0.025,60,3
0.15,PairwiseTE,30,0.019268911193017803,0.019062554158686868,1.0,1.0,0.0,60,0
0.15,PAC,30,0.019268911193017803,0.00030219838748550565,0.0,0.0,0.0,0,0
0.15,ConditionalVAR,30,0.019268911193017803,0.01925155986387357,1.0,1.0,0.0,60,0
0.15,Neuroforecast,30,0.019268911193017803,0.018261599985535594,1.0,1.0,0.0,60,0
0.2,Correlation,30,0.03417402119330315,0.04183555229361398,1.0,1.0,0.025,60,3
0.2,PairwiseTE,30,0.03417402119330315,0.034056976519213855,1.0,1.0,0.008333333333333333,60,1
0.2,PAC,30,0.03417402119330315,0.0003072942523935412,0.0,0.0,0.0,0,0
0.2,ConditionalVAR,30,0.03417402119330315,0.03599089461141629,1.0,1.0,0.0,60,0
0.2,Neuroforecast,30,0.03417402119330315,0.03321729843904762,1.0,1.0,0.0,60,0
0.25,Correlation,30,0.05321602454928352,0.0641941842007894,1.0,1.0,0.13333333333333333,60,16
0.25,PairwiseTE,30,0.05321602454928352,0.054221729738312165,1.0,1.0,0.016666666666666666,60,2
0.25,PAC,30,0.05321602454928352,0.0004660899084213755,0.0,0.0,0.016666666666666666,0,2
0.25,ConditionalVAR,30,0.05321602454928352,0.05573835211172075,1.0,1.0,0.0,60,0
0.25,Neuroforecast,30,0.05321602454928352,0.05192465171161319,1.0,1.0,0.0,60,0
0.3,Correlation,30,0.0762793959911068,0.09262634884158072,1.0,1.0,0.25833333333333336,60,31
0.3,PairwiseTE,30,0.0762793959911068,0.07708512938322694,1.0,1.0,0.025,60,3
0.3,PAC,30,0.0762793959911068,0.00032809108990546163,0.0,0.0,0.03333333333333333,0,4
0.3,ConditionalVAR,30,0.0762793959911068,0.07535281354743661,1.0,1.0,0.0,60,0
0.3,Neuroforecast,30,0.0762793959911068,0.07317232821485797,1.0,1.0,0.0,60,0
0.4,Correlation,30,0.13377780714820886,0.16058983787435993,1.0,1.0,0.5333333333333333,60,64
0.4,PairwiseTE,30,0.13377780714820886,0.13508328239682862,1.0,1.0,0.18333333333333332,60,22
0.4,PAC,30,0.13377780714820886,0.0004966854691078704,0.03333333333333333,0.016666666666666666,0.008333333333333333,1,1
0.4,ConditionalVAR,30,0.13377780714820886,0.1337854078251775,1.0,1.0,0.0,60,0
0.4,Neuroforecast,30,0.13377780714820886,0.1310963837027411,1.0,1.0,0.0,60,0
